G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,datenum,power_norm
0.1122500000,0.3260000000,0.1610000000,0.9500000000,-0.7677665098,737791.3368055555,0.2695000000
0.2333000000,0.3260000000,0.1290000000,0.9500000000,-0.7677574782,737791.3402777778,0.1485000000
0.1276000000,0.3260000000,0.0970000000,0.9500000000,-0.7677484435,737791.3437500000,0.3490000000
0.1656000000,0.3260000000,0.1450000000,0.9500000000,-0.7677394058,737791.3472222223,0.2225000000
0.1820000000,0.3280000000,0.1290000000,0.9500000000,-0.7677303649,737791.3506944445,0.1775000000
0.1288000000,0.3280000000,0.1290000000,0.9500000000,-0.7677213210,737791.3541666666,0.3470000000
0.1411000000,0.3280000000,0.0800000000,0.9500000000,-0.7677122740,737791.3576388889,0.2545000000
0.1423000000,0.3300000000,0.0800000000,0.9500000000,-0.7677032239,737791.3611111111,0.2555000000
0.2059000000,0.3300000000,0.0970000000,0.9500000000,-0.7676941708,737791.3645833334,0.2525000000
0.2059000000,0.3300000000,0.1130000000,0.9500000000,-0.7676851146,737791.3680555555,0.2040000000
0.1703000000,0.3280000000,0.1610000000,0.9500000000,-0.7676760553,737791.3715277778,0.1840000000
0.1552000000,0.3280000000,0.0800000000,0.9500000000,-0.7676669929,737791.3750000000,0.3405000000
0.1498500000,0.3300000000,0.0970000000,0.9500000000,-0.7676579275,737791.3784722223,0.2205000000
0.1768500000,0.3300000000,0.1610000000,0.9500000000,-0.7676488590,737791.3819444445,0.1810000000
0.1304500000,0.3300000000,0.1450000000,0.9500000000,-0.7676397874,737791.3854166666,0.1875000000
0.1419000000,0.3300000000,0.1130000000,0.9500000000,-0.7676307128,737791.3888888889,0.1670000000
0.1406500000,0.3320000000,0.1450000000,0.9500000000,-0.7676216350,737791.3923611111,0.1785000000
0.1490500000,0.3320000000,0.0970000000,0.9500000000,-0.7676125542,737791.3958333334,0.1865000000
0.1527500000,0.3320000000,0.0800000000,0.9500000000,-0.7676034704,737791.3993055555,0.1845000000
0.1509000000,0.3340000000,0.1130000000,0.9500000000,-0.7675943834,737791.4027777778,0.1880000000
0.1535500000,0.3320000000,0.1610000000,0.9500000000,-0.7675852934,737791.4062500000,0.2085000000
0.1715500000,0.3320000000,0.0970000000,0.9500000000,-0.7675762003,737791.4097222223,0.2090000000
