G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,power_norm
0.11225,0.326,0.161,0.95,-0.76777,0.2695
0.2333,0.326,0.129,0.95,-0.76776,0.1485
0.1276,0.326,0.097,0.95,-0.76775,0.349
0.1656,0.326,0.145,0.95,-0.76774,0.2225
0.182,0.328,0.129,0.95,-0.76773,0.1775
0.1288,0.328,0.129,0.95,-0.76772,0.347
0.1411,0.328,0.08,0.95,-0.76771,0.2545
0.1423,0.33,0.08,0.95,-0.7677,0.2555
0.2059,0.33,0.097,0.95,-0.76769,0.2525
0.2059,0.33,0.113,0.95,-0.76769,0.204
0.1703,0.328,0.161,0.95,-0.76768,0.184
0.1552,0.328,0.08,0.95,-0.76767,0.3405
0.14985,0.33,0.097,0.95,-0.76766,0.2205
0.17685,0.33,0.161,0.95,-0.76765,0.181
0.13045,0.33,0.145,0.95,-0.76764,0.1875
0.1419,0.33,0.113,0.95,-0.76763,0.167
0.14065,0.332,0.145,0.95,-0.76762,0.1785
0.14905,0.332,0.097,0.95,-0.76761,0.1865
0.15275,0.332,0.08,0.95,-0.7676,0.1845
0.1509,0.334,0.113,0.95,-0.76759,0.188
0.15355,0.332,0.161,0.95,-0.76759,0.2085
0.17155,0.332,0.097,0.95,-0.76758,0.209
0.137,0.334,0.113,0.95,-0.76757,0.3055
0.17195,0.334,0.145,0.95,-0.76756,0.3145
0.24515,0.336,0.161,0.95,-0.76755,0.211
0.15845,0.336,0.113,0.95,-0.76754,0.2395
0.1458,0.338,0.177,0.95,-0.76753,0.375
0.1971,0.336,0.177,0.95,-0.76752,0.484
0.3073,0.336,0.145,0.95,-0.76751,0.44
0.37785,0.336,0.129,0.95,-0.7675,0.226
0.17075,0.334,0.177,0.95,-0.76749,0.2575
0.16295,0.334,0.161,0.95,-0.76749,0.3305
0.2059,0.334,0.145,0.95,-0.76748,0.301
0.2343,0.332,0.193,0.95,-0.76747,0.213
0.18015,0.332,0.161,0.95,-0.76746,0.2405
0.1642,0.332,0.145,0.95,-0.76745,0.248
0.1965,0.334,0.129,0.95,-0.76744,0.195
0.16605,0.332,0.145,0.94,-0.76743,0.2115
0.1376,0.33,0.129,0.94,-0.76742,0.3635
0.2695,0.33,0.113,0.94,-0.76741,0.2295
0.1881,0.33,0.097,0.94,-0.7674,0.1965
0.1454,0.332,0.129,0.94,-0.76739,0.198
0.1597,0.332,0.097,0.94,-0.76738,0.1695
0.1425,0.334,0.08,0.95,-0.76738,0.159
0.11735,0.338,0.129,0.94,-0.76737,0.1575
0.13415,0.336,0.129,0.94,-0.76736,0.1525
0.11755,0.332,0.161,0.94,-0.76735,0.229
0.14845,0.334,0.145,0.94,-0.76734,0.2275
0.184,0.336,0.129,0.94,-0.76733,0.1315
0.1184,0.338,0.097,0.94,-0.76732,0.1755
0.12045,0.336,0.177,0.94,-0.76731,0.1775
0.1501,0.336,0.129,0.94,-0.7673,0.226
0.11715,0.342,0.129,0.94,-0.76729,0.267
0.2112,0.34,0.129,0.93,-0.76728,0.245
0.17275,0.342,0.145,0.93,-0.76727,0.278
0.2241,0.336,0.177,0.93,-0.76727,0.225
0.1605,0.336,0.129,0.93,-0.76726,0.219
0.14945,0.336,0.129,0.92,-0.76725,0.215
0.1783,0.34,0.177,0.92,-0.76724,0.208
0.1642,0.338,0.161,0.92,-0.76723,0.213
0.1554,0.338,0.113,0.92,-0.76722,0.305
0.21655,0.342,0.129,0.92,-0.76721,0.216
0.18035,0.344,0.129,0.92,-0.7672,0.2595
0.1321,0.342,0.145,0.92,-0.76719,0.248
0.19955,0.34,0.145,0.92,-0.76718,0.257
0.20445,0.34,0.08,0.92,-0.76717,0.2125
0.17685,0.344,0.113,0.92,-0.76716,0.207
0.1703,0.344,0.129,0.92,-0.76715,0.1975
0.14945,0.342,0.193,0.92,-0.76715,0.191
0.1613,0.342,0.08,0.92,-0.76714,0.218
0.14825,0.344,0.113,0.92,-0.76713,0.2795
0.184,0.34,0.129,0.92,-0.76712,0.2635
0.20305,0.344,0.097,0.92,-0.76711,0.3645
0.2433,0.344,0.145,0.92,-0.7671,0.331
0.2611,0.342,0.145,0.92,-0.76709,0.2865
0.23475,0.342,0.225,0.92,-0.76708,0.349
0.2112,0.338,0.161,0.92,-0.76707,0.435
0.2574,0.338,0.129,0.91,-0.76706,0.532
0.4124,0.342,0.113,0.91,-0.76705,0.3085
0.2523,0.344,0.177,0.91,-0.76704,0.302
0.1959,0.344,0.177,0.9,-0.76703,0.25
0.1926,0.344,0.177,0.9,-0.76702,0.627
0.19525,0.344,0.177,0.9,-0.76702,0.3095
0.2462,0.342,0.145,0.9,-0.76701,0.3075
0.2237,0.342,0.129,0.9,-0.767,0.3225
0.2472,0.344,0.209,0.89,-0.76699,0.321
0.18525,0.344,0.145,0.89,-0.76698,0.678
0.3429,0.344,0.177,0.88,-0.76697,0.4395
0.31915,0.346,0.161,0.88,-0.76696,0.484
0.23045,0.346,0.145,0.87,-0.76695,0.319
0.24125,0.346,0.241,0.86,-0.76694,0.294
0.2415,0.346,0.209,0.87,-0.76693,0.357
0.2836,0.344,0.209,0.87,-0.76692,0.357
0.1969,0.342,0.209,0.87,-0.76691,0.5135
0.38155,0.342,0.145,0.87,-0.7669,0.2605
0.19815,0.344,0.145,0.87,-0.76689,0.3135
0.1977,0.352,0.113,0.87,-0.76689,0.3865
0.3161,0.352,0.177,0.84,-0.76688,0.2715
0.18445,0.356,0.08,0.84,-0.76687,0.343
0.2836,0.356,0.177,0.83,-0.76686,0.234
0.1918,0.358,0.225,0.82,-0.76685,0.2395
0.1744,0.362,0.177,0.81,-0.76684,0.2565
0.20835,0.362,0.193,0.81,-0.76683,0.345
0.19015,0.36,0.129,0.82,-0.76682,0.1835
0.1558,0.358,0.209,0.82,-0.76681,0.199
0.16315,0.354,0.161,0.82,-0.7668,0.199
0.1687,0.356,0.113,0.83,-0.76679,0.196
0.16175,0.356,0.145,0.82,-0.76678,0.289
0.1683,0.356,0.145,0.82,-0.76677,0.192
0.16275,0.358,0.193,0.82,-0.76676,0.186
0.14475,0.356,0.209,0.82,-0.76675,0.167
0.14395,0.356,0.129,0.82,-0.76675,0.1655
0.12145,0.356,0.145,0.81,-0.76674,0.183
0.13415,0.362,0.129,0.81,-0.76673,0.147
0.1278,0.362,0.113,0.8,-0.76672,0.131
0.10795,0.362,0.113,0.81,-0.76671,0.1325
0.118,0.362,0.225,0.8,-0.7667,0.0915
0.08815,0.36,0.177,0.81,-0.76669,0.098
0.08385,0.358,0.129,0.81,-0.76668,0.0775
0.0771,0.356,0.193,0.82,-0.76667,0.0865
0.0769,0.356,0.225,0.82,-0.76666,0.0785
0.0783,0.356,0.161,0.82,-0.76665,0.104
0.0828,0.354,0.129,0.82,-0.76664,0.083
0.0781,0.354,0.145,0.82,-0.76663,0.089
0.08545,0.35,0.161,0.82,-0.76662,0.074
0.0769,0.348,0.161,0.83,-0.76661,0.0775
0.07095,0.348,0.177,0.82,-0.7666,0.0765
0.0681,0.348,0.193,0.82,-0.76659,0.089
0.08015,0.348,0.161,0.83,-0.76659,0.073
0.07605,0.346,0.193,0.82,-0.76658,0.0685
0.07195,0.344,0.145,0.83,-0.76657,0.0615
0.0926,0.35,0.016,0.91,-0.76504,0.138
0.1237,0.35,0.048,0.91,-0.76503,0.1375
0.11185,0.352,0.016,0.91,-0.76502,0.158
0.13435,0.352,0.032,0.91,-0.76501,0.1515
0.13415,0.352,0.048,0.91,-0.765,0.1875
0.1409,0.354,0.048,0.9,-0.76499,0.207
0.17255,0.354,0.064,0.9,-0.76498,0.225
0.1822,0.354,0.064,0.9,-0.76497,0.197
0.1607,0.354,0.032,0.9,-0.76496,0.205
0.1742,0.356,0.048,0.9,-0.76495,0.249
0.1924,0.356,0.064,0.9,-0.76494,0.34
0.2049,0.356,0.016,0.9,-0.76493,0.207
0.1644,0.358,0.064,0.89,-0.76492,0.2665
0.1928,0.358,0.032,0.89,-0.76491,0.239
0.1646,0.358,0.032,0.89,-0.7649,0.26
0.1916,0.36,0.064,0.89,-0.76489,0.2365
0.1969,0.362,0.064,0.89,-0.76488,0.241
0.2006,0.364,0.048,0.89,-0.76487,0.651
0.18895,0.366,0.032,0.88,-0.76486,0.2625
0.219,0.366,0.048,0.88,-0.76485,0.312
